(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters_second_pass,warning_second_pass
100,0,31.58,38.86,1,1,0,0,
100,0,3.24,61.04,1,0.78,0,0,
100,0,4.55,10,1.09,1,0,0,
100,0,3.42,9.45,1,1,0,0,
100,0,9.05,1,1,1,0,0,
100,0,10.92,1,1.19,1,0,0,
100,0,5.43,34,1,1,0,0,
100,0,5.38,13.56,1,4.33,0,0,
100,0,1.24,40,1,1,0,0,
100,0,4.15,1,1,1,0,0,
100,0,9.06,1,1,1,0,0,
95,0,2.4,2.3,1,1.2,42,0,
100,0,20,10.67,1.06,1,1,0,
100,0,20,11.11,1.03,1,1,0,
100,1,10.86,30,1,1,0,0,
100,1,10.86,30,1,1,0,0,
100,0,5.84,8.69,1,1,0,0,
100,89,1.19,14.57,1.09,-0.21,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
100,95,1.21,12.83,1.05,-0.4,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
100,0,5.69,6,1.02,1,0,0,
100,2,30,50,1.53,0.86,4,0,
100,0,11,5.14,1,1,0,0,
100,0,11,5.14,1,1,0,0,
100,0,8.17,10,1.13,1,3,0,
66.67,167,4.51,12,1.22,-0.02,0,0,
100,0,1.43,11.25,0.41,0.4,0,0,
100,0,4.13,4.22,-0.67,-0.5,0,9,Negative values entered
100,0,2.08,15,1,1,0,0,
100,0,38.23,1,1,1,0,0,
100,0,3.66,5.21,0.9,1,0,0,
100,0,3.68,5.22,0.84,1,0,0,
100,0,7,7,1,1,0,0,
100,3,2.62,75.09,1.18,12,0,0,
100,0,5.4,12.31,1,1,0,0,
100,0,19.88,10.98,1,1,1,0,
100,0,8,100,1.05,1.25,0,0,
100,0,8,100,1.07,4.5,0,0,
100,0,2.31,1,3.63,1,13,0,
100,0,1.75,8.05,0.63,1,13,0,
100,0,0.62,3.18,1,1.1,10,0,
100,8,2.8,30.73,1.24,14,0,0,
100,0,3,4.5,1.5,2,0,0,
100,0,0.2,0.13,1,1,0,0,
100,0,2.03,12,1.14,0.75,0,0,
100,0,2.03,85,1.14,0.25,29,0,
100,0,2.18,9,1,1,0,0,
100,0,16,24,1,1,0,0,
100,0,8.93,10.67,1,1,7,0,
100,0,3.27,6,0.94,0.13,0,0,
100,0,0.88,1,1.46,3.43,0,0,
100,2,9.42,3,1.32,1,0,0,
100,2,5.16,100,1,1,0,0,
100,5,1.11,1.36,1.17,1,0,0,
100,0,45,45,1,1,0,0,
96.9,0,2.22,4.45,0.94,1.36,0,0,
100,3,0.76,30,1.04,-2,0,0,
100,1,1.27,40,1,1,3,0,
89.88,0,5.87,8.46,1.07,0.57,0,0,
100,0,2.69,6,1,1,3,0,
100,0,0.2,0.13,1,1,0,0,
100,0,1.67,19.25,0.97,1,0,0,
100,0,10.18,13.25,1,1,12,0,
100,0,8.93,10.67,1,1,7,0,
100,0,5.35,68.25,1,0.32,0,0,
100,0,0.66,9,0.87,-2,8,0,
100,0,0.92,4,1.43,-0.9,11,0,
100,0,0.92,4,1.43,-0.9,5,0,
100,0,1.35,1.35,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,9.38,9.38,1,1,0,0,
100,0,15.36,80,1.22,0.75,0,0,
100,7,13.9,10.17,1.26,1.08,21,0,
100,0,4.6,21.5,1,2,0,0,
100,0,15.35,9.75,1,1,0,0,
100,0,16.45,1,1,1,0,0,
100,0,7.97,4,0.99,1,0,0,
100,0,16.05,130.89,0.93,1.11,2,0,
100,0,4.85,20.05,0.89,0.85,0,0,
100,0,3.76,40.8,1.45,1.25,1,0,
100,0,0.33,0.33,1,1,0,0,
100,0,0.06,0.14,1,1.22,0,0,
100,0,8.75,6.33,1.13,1,0,0,
100,0,3,6,0.79,0.76,4,0,
100,0,5.32,20,1,1,0,0,
100,0,9.51,9.51,1,1,289,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,0,10.45,10.45,1,1,128,0,
100,0,1,1,1,1,0,0,
100,0,2,4,1,1,0,0,
100,0,3.46,36,1.12,1.25,0,0,
100,0,3.46,36,1.12,1.25,0,0,
100,0,4.89,135.3,1.04,0.56,0,0,
100,0,1.15,1,1,1,0,0,
100,0,1,5,1,1,0,0,
100,0,14.75,7.06,1,0.95,0,0,
100,0,1.33,1.33,1,1,1,0,
100,0,1.67,1.1,1,1,1,0,
100,14,10.29,114,0.91,1.5,0,0,
100,0,1.91,1.47,-3.72,1.25,0,0,
100,0,66,1.6,1,-50,8,0,
100,0,3.66,1.98,-1.37,1.28,0,0,
100,0,5.33,10,0.94,1,0,0,
100,0,7,6,1,1,2,0,
100,0,13.33,37.14,1.27,1.4,0,0,
100,0,3,6,0.79,0.76,4,0,
100,0,0,0,1,1,0,0,
85.71,1,93.68,500,1.19,0.08,1,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,3.07,68.75,0.95,0.4,0,0,
100,0,1.11,16,1,1,0,0,
100,0,8.86,20,0.93,1,0,0,
94.12,0,13.85,3,1.06,1,0,0,
94.12,0,16.97,16.97,1,1,0,0,
100,0,6.22,4.06,1.22,1.02,0,0,
100,0,3.53,56,1.01,1,0,0,
100,0,2.33,50,1.09,1,0,0,
100,0,2.33,50,1.09,1,0,0,
100,0,20,8.21,1,0.93,0,0,
100,0,6.22,1,1,1,0,0,
100,0,2.33,50,1.09,1,0,0,
100,0,1,2,1,0.83,0,0,
100,2,5.65,8,1.04,1,0,0,
100,0,1.62,1,1.58,1,15,0,
100,0,10.99,42,1.06,1,0,0,
100,0,0.55,8,0.97,1,0,0,
100,0,0.49,8,1,1,0,0,
100,0,2,1,1,1,1,0,
100,0,6.89,66,1,1,0,0,
100,0,2,2,1.43,1,0,0,
100,0,0,0,1.03,2,0,0,
100,0,4,1,1,1,0,0,
100,0,2.49,43,0.91,1,1,0,
100,1,1,20,-2.5,-0.25,0,9,Negative values entered
100,0,1,5,1,1,0,0,
100,0,2,12,0.82,0.29,0,0,
100,0,0.4,6.5,1,1,0,0,
100,0,7.06,5,1.16,3,0,0,
100,0,7.5,4.96,1,0.76,0,0,
100,0,1,1.5,1,1,0,0,
100,0,1.38,5.14,1,1,0,0,
100,0,10.61,7,1,1,0,0,
100,0,5.38,34,1.41,0.83,0,0,
100,36,0.05,4,1.3,1,0,0,
100,52,0.04,4,1.2,1,0,0,
100,0,1,1,1,1,0,0,
100,0,4.55,10,1.08,1,0,0,
100,0,6,10,1.05,1,0,0,
100,0,0,0,1,1,0,0,
100,0,2.41,37.31,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,15.41,45,0.97,1,1,0,
100,0,3.46,36,1.12,1.25,0,0,
95.24,0,2.82,263.5,1.19,0.11,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,6.44,33.33,1.03,1,0,0,
100,0,7.06,21.65,1.02,0.47,0,0,
100,0,7.24,20.54,1,0.48,0,0,
100,0,0,8,0.94,1,0,0,
100,0,0,1,1,1,0,0,
90.03,0,5.61,14.77,1.17,0.79,0,0,
100,0,1.39,10,1.02,1,0,0,
100,0,8.51,1,9.4,1,10,0,
100,0,3.21,6,0.86,1.2,0,0,
100,0,1.55,6,1.04,1,0,0,
100,0,10.5,20.5,1,1,0,0,
97.94,7,4.84,26.67,1.01,0.8,0,0,
100,25,3.61,9.64,0.96,1,0,0,
100,4,3.02,5.63,1.01,1,0,0,
100,0,3.67,9,1,1,0.13,0,
100,0,0.64,20,1.09,1,3,0,
100,14,25.32,44.94,23.6,2,0,0,
100,0,3.83,1.4,0.5,1,0,0,
100,4,2.49,6.53,1.71,2.13,0,0,
100,0,1.81,3.38,1.57,-2.17,0,0,
100,0,1,5,1,1,0,0,
100,0,2,1,1,1,0,0,
100,6,20.04,18,3.07,0.75,0,0,
100,19,19.95,21.17,1.01,3,0,0,
100,20,13.63,14.56,2.93,1,0,0,
100,0,1.71,2.93,1.4,1,0,0,
100,0,9.39,24.64,0.95,1.23,0,0,
100,0,4.91,22.18,1.1,1.27,0,0,
100,0,62,31,1.67,2,315,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,0,6.11,32.19,1,1,0,0,
100,0,4.1,31.79,1,1,0,0,
100,0,6.09,15.18,0.57,0.59,0,0,
100,0,3.6,20,1,0.95,0,0,
100,0,3.33,22.62,1,0.91,0,0,
100,0,1,1,5,1,0,0,
100,0,10.63,17.67,1.07,0.33,0,0,
100,0,5.17,5.65,1.5,1,0,0,
100,0,1.42,5.71,1.94,2.33,0,0,
100,0,7.71,9,1.4,2,0,0,
88.89,0,4.41,16,1.14,-0.58,0,0,
98.87,0,5.4,9.84,1.15,9.5,0,0,
97.56,1,1.1,20,0.98,1,0,0,
95.52,2,1.31,20,0.96,1,0,0,
100,6,0.68,7.5,5.8,1,2,0,
97.47,1,1.04,20,0.97,1,0,0,
96.59,5,5.27,10,1,1,8,0,
100,0,4.01,11,1,1,0,0,
100,0,4.55,6.4,1,1,0,0,
87.5,0,6.88,3.43,0.64,1,1,0,
100,0,3.71,11.39,1,1,0,0,
100,0,1.26,6.67,1,1,0,0,
100,0,2.01,8.22,1,0.59,0,0,
100,0,9.51,10,1.03,0.67,0,0,
100,4,4.47,33.95,0.9,0.7,2,0,
100,0,8.1,8.1,1,1,0,0,
100,0,2.81,87.93,1.03,1.29,0,0,
100,0,11,18,1,1,0,0,
100,0,9.89,8,1,1,0,0,
100,0,42,42,0.81,0.81,0,0,
100,0,0.44,12.38,1,1.02,0,0,
100,0,3.94,8.18,1,1,0,0,
96.1,0,3.46,22.86,1,1,5,0,
100,0,3.23,5.68,1.41,2.24,0,0,
96.67,2,1.1,5,1,1,0,0,
100,0,0.05,1,1,1,0,0,
92.86,0,11.17,48.85,0.93,0.5,0,0,
100,0,4,4,1.2,1.2,12,0,
100,0,50.8,60.33,1.67,3.94,1,0,
100,0,7.75,8,1,1,0,0,
100,0,4,4,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,10,10,1,1,0,0,
100,0,3.35,43.44,1.26,1.07,0,0,
100,0,0.2,0.13,1,1,0,0,
100,0,3.76,35.67,0.7,0.27,0,0,
100,0,2.08,7.2,1.13,0.71,0,0,
100,0,2.67,20.67,0.89,2.25,0,0,
100,0,1.62,1,0.99,1,0,0,
96.08,88,0,2.77,1.6,9,81,0,
75,0,7.19,89.25,0.98,1.33,0,0,
139.71,5,2.56,0.78,-1.62,-1.32,5,5,"%SLAs met is more than 100%, please re-check"
100,0,0.61,27,1.05,1,0,0,
100,0,9.33,80,1.03,0.33,0,0,
100,0,5.73,1,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,4.67,4,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,3.46,36,1.12,1.25,0,0,
100,0,0.56,23.24,0.94,1.05,0,0,
100,5,6.69,33.33,1.03,1,0,0,
100,0,0.06,1,1,1,0,0,
100,0,0.02,1,1,1,0,0,
100,0,1,1,1,1,0,0,
93.33,0,10.64,54.65,0.98,0.67,0,0,
100,0,4,4,1.36,1.36,15,0,
100,0,9.27,87,0.97,0.5,0,0,
100,1,7.62,1,1,1,0,0,
100,0,7.61,17.88,1,1,0,0,
100,0,4.6,7.5,0.93,1,0,0,
100,0,3.68,7.43,0.96,1,0,0,
100,0,0.83,0.4,1,1,0,0,
105.88,0,9.44,10,1,1,0,5,"%SLAs met is more than 100%, please re-check"
100,0,11,42,1.06,1,0,0,
100,0,8.02,10,0.99,1,0,0,
57.65,88,0,5.8,1.3,3.21,45,0,
100,0,0.83,29.18,1,1,0,0,
100,0,0.88,62.84,1,1,0,0,
100,0,4.24,20.48,1.11,1.5,0,0,
100,0,9.4,5.63,1.03,1,0,0,
100,0,2.83,6.86,2.5,3.5,14,0,
100,0,2.83,6.86,2.5,3.5,1,0,
100,0,2.18,9,1,1,0,0,
100,0,6.84,33.33,0.94,1,0,0,
100,5,6.69,33.33,1.03,1,0,0,
100,0,6.98,7.89,0.95,0.97,0,0,
100,0,1,2.36,1,1,0,0,
100,0,2.84,3,1,1,0,0,
100,0,2.83,6.86,2.5,3.5,1,0,
100,0,22.15,4.52,1,1,0,0,
100,0,0.23,1,1,1,0,0,
100,0,10,10,1,1,0,0,
100,0,3.16,1,6.29,1,7,0,
100,0,3.17,1,7,1,4,0,
78.57,23,1.13,1.42,-1.33,-0.82,63,9,Negative values entered
100,13,3.02,22.5,1.03,1,0,0,
100,0,4,3.5,1.67,0.8,0,0,
100,12.85,4.25,40,0.98,3.67,1,0,
100,0,3.27,1,6.86,1,9,0,
96,0,13.48,13.48,0.78,0.76,1,0,
100,0,6.69,6,1,1,0,0,
100,0,1,11.5,1,1,0,0,
100,0,0.97,50,3.4,2,0,0,
100,2,31,41.82,0.78,3.67,4,0,
100,0,4.61,36.39,0.86,0.78,0,0,
100,43,0.05,4,1.07,1,0,0,
100,0,10,8,1,1,0,0,
100,0,9,11,1,1,2,0,
100,0,7.6,5.33,1,1,5,0,
100,0,1.23,10.06,1,1,0,0,
100,0,0.75,20.5,0.95,1,25,0,
100,0,10.74,25,1,1,0,0,
100,0,41.95,33.33,1.46,0.75,0,0,
100,0,9.39,9.39,1,1,209,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,0,0,0,1.37,10,1,0,
100,0,6.79,8,1.16,1,0,0,
100,0,10.38,48,0.93,0.71,0,0,
100,30,2.68,57.81,1.01,1.33,0,0,
100,0,1,1,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,5,10,1.11,1,0,0,
100,0,0,0,1.1,1,0,0,
80,1,0,0,0.89,1,0,0,
100,0,22.67,12.44,1.07,0.98,1,0,
100,0,16,40.86,0.77,1.35,17,0,
100,0,4.11,18.4,0.97,1,0,0,
100,0,4.63,20.2,8.43,-0.31,0,0,
100,0,2,2.01,1,0.98,0,0,
100,0,3.56,29.03,1,1,0,0,
100,0,3.88,27.5,1,1,0,0,
100,0,0.71,1,1,1,0,0,
100,0,2.26,19,1.04,2.5,0,0,
96.34,5,2.55,2.49,0.8,1,8,0,
100,0,1.07,5.07,0.93,1.44,0,0,
100,0,7.62,7.62,1,1,0,0,
100,0,29.89,20.49,0.97,0.9,0,0,
100,0,0.83,50,2.89,2,0,0,
95.04,7,2.45,2.58,0.76,0.67,6,0,
100,0,2.18,2.18,1,1,11,0,
100,0,5.46,5.46,1,1,7,0,
100,0,0.55,0.5,1,-0.67,0,0,
100,0,12.81,14.43,1.27,1,0,0,
100,0,6.22,1,1,1,0,0,
100,5,27.7,0.26,1.03,1.06,0,0,
100,0,3.49,40,1.3,0.72,0,0,
100,0,2.08,10.91,1.2,2.75,0,0,
100,0,10.77,14.17,1,1,0,0,
107.69,0,1.25,1.67,3.33,3,31,5,"%SLAs met is more than 100%, please re-check"
100,10,9.23,26.67,0.81,1,0,0,
100,0,0,0,1.27,1.5,0,0,
100,0,9.26,56,0.93,0.57,0,0,
100,0,3.44,3,1,1,0,0,
100,0,7.78,28,0.88,1,1,0,
100,0,10.71,25,1,1,0,0,
100,0,0,0,1.63,1,0,0,
100,0,21.14,10,1,1,0,0,
100,0,6.39,25,0.93,1,0,0,
100,0,21.33,40,1.32,2.5,0,0,
100,1,11.5,5.5,-0.67,6,0,0,
100,0,1,5,1,1,0,0,
100,0,8.6,3.4,0.83,0.99,0,0,
100,0,2.33,50,1.09,1,0,0,
100,0,9.29,7.76,1.34,1.6,0,0,
100,0,4.89,4.24,1.2,1.39,0,0,
100,0,2,12,0.82,0.29,0,0,
100,5,2,0.5,1,1,0,0,
100,0,8.9,64.5,1.45,0.5,0,0,
100,0,10.25,16.73,1.06,1.38,0,0,
100,0,4.16,11.56,0.69,0.76,0,0,
100,0,13.05,62.8,0.89,1.25,0,0,
100,0,1.91,22.2,1.08,1,0,0,
100,0,10,200,1,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,2,3.97,30,0.91,3,0,0,
100,0,35.42,50,0.94,1,0,0,
100,0,3.85,19.2,0.91,0.83,0,0,
100,0,176,176,1,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,6.88,24,0.98,1,0,0,
100,0,3.75,0,1,1,0,0,
100,0,9.89,5,1.21,1.86,0,0,
100,0,1.78,10,0.83,1,0,0,
100,0,2.62,1.56,1,1,0,0,
100,0,8.79,33,0.87,1,0,0,
100,0,5.4,39.33,0.92,1.5,0,0,
100,0,5.64,9.18,1,11,7,0,
100,0,5.25,20,1.03,1,0,0,
100,0,2.57,5,1,1,0,0,
100,3,8.49,31.74,0.91,1.25,0,0,
100,0,1.44,0.7,0.97,1,6,0,
100,0,9,34.09,0.83,1,0,0,
100,0,1.55,10,0.96,3,0,0,
100,0,1.73,2,1.06,1,1,0,
100,0,10,9,1,1,0,0,
100,0,3.67,9,1,1,0.13,0,
100,0,9.4,19.1,1,1,0.13,0,
100,0,0.48,2.4,1,1,5,0,
100,0,4.43,13.75,0.92,1,0,0,
100,0,0.64,20,1.09,1,3,0,
100,0,0.41,20,1.38,1,0,0,
100,0,0.41,20,1.38,1,0,0,
100,21,7.95,68.4,1.34,-5,0,0,
100,3,4,3,2.24,1,0,0,
100,0,4.12,31.11,1.09,3,0,0,
100,0,4.18,53.8,0.89,0.71,0,0,
75,12,2.06,16.1,0.96,0.5,0,0,
100,13,1.06,1.5,0.77,0.5,0,0,
100,0,3.17,1,7,1,5,0,
100,1,6.69,54.11,0.96,0.78,0,0,
100,34,0.59,0.56,1.08,-0.05,0,0,
100,48,0.54,0.56,1.1,-0.05,0,0,
100,0,9.1,348,1.28,0.5,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,0.25,4,1,1,0,0,
107.72,0,1.25,1.67,3.33,3,32,5,"%SLAs met is more than 100%, please re-check"
108.04,0,1.25,1.67,3.33,3,31,5,"%SLAs met is more than 100%, please re-check"
100,0,2.47,22,0.96,0.04,0,0,
100,0,8.5,10,1,1,0,0,
100,0,0,1,-1,0.5,0,0,
100,0,1,1,1,1,0,0,
100,0,1,0.5,1,1,0,0,
100,0,1,1,1,1,0,0,
810.71,232,0.82,0.79,-1.2,-0.26,65,5,"%SLAs met is more than 100%, please re-check"
100,0,0,0,1,0.86,0,0,
100,0,0,0,1.07,2.25,0,0,
100,0,10,200,1,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
104.76,0,1.5,0.55,10,3.67,1,5,"%SLAs met is more than 100%, please re-check"
100,0,1.25,1.67,12,1.5,0,0,
100,0,2,9.86,1,0.74,0,0,
100,0,6.62,6.62,1.03,1.03,0,0,
100,0,1.06,8,1.65,-1.5,0,0,
100,0,176,176,1,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,8,20,0.5,1,0,0,
100,0,12,20,0.83,1,0,0,
100,0,5.71,20,0.78,1,0,0,
100,0,0.5,13,0.99,1,0,0,
100,0,0.89,7.27,1,0.65,0,0,
100,0,0.33,6.67,1,1,0,0,
100,0,1,0.5,1,1,0,0,
100,0,16,40,1.11,1,0,0,
100,2,5.09,4.67,1,1,0,0,
100,6,5.08,6.57,1,1,0,0,
98.59,0,5.53,11.38,1.16,0.73,0,0,
100,0,1.21,1.21,829.5,1,0,8,BPE-I values are very high compared to normal data (atleast 250 times higher). Other metrics seem to be within range. Could indicate that majority of effort is being spent in addressing backlog incidents
100,0,36.75,50,0.97,1,0,0,
100,0,33.8,50,0.88,1,0,0,
100,0,4.13,50,0.93,1,0,0,
100,0,2.8,1,10,1,5,0,
100,0,3.17,1,9,1,6,0,
90.83,0,4.91,323.16,1.15,1.2,1,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,3.4,34.83,1,1,0,0,
100,0,0,0,1.22,1.13,1,0,
100,0,6.27,156.4,1.13,1.06,0,0,
100,0,1,1,1,1,0,0,
100,9,3.46,32,1.52,2,0,0,
75,14,2.66,38,0.92,1,0,0,
100,0,7.07,28.67,1.01,1,0,0,
100,0,7.84,29,1,1,0,0,
100,0,6.5,1,1.72,1,10,0,
100,0,9.9,5,1.18,2.71,0,0,
100,0,3.21,2.63,0.74,1.08,0,0,
100,0,4,4,1.17,1.17,14,0,
100,0,10,17.14,1,1,0,0,
100,0,5.62,25.51,1.22,0.91,0,0,
100,0,5.19,9.46,1.06,3.61,0,0,
100,0,9.71,80,1.04,1,0,0,
100,0,0,0,1.01,1,0,0,
100,1,9.66,15,0.95,1,0,0,
100,0,1.86,5,8.75,1,27,0,
100,0,0.92,0.93,1.06,1.18,1,0,
100,0,0.92,0.92,1.05,1.17,4,0,
100,5,1.04,1.46,1.06,1.08,0,0,
94.54,0,2.67,2.96,0.91,0.76,0,0,
100,0,4.44,15.25,1.23,1,0,0,
100,0,4.44,15.4,1.09,1,0,0,
100,20,20.67,13.33,0.95,1.5,0,0,
100,0,4.5,5,1,1,0,0,
100,9,1.93,27.22,1.01,1.07,0,0,
100,0,4.07,3.2,1,1,0,0,
100,0,5.51,4.53,1,1,0,0,
100,0,8,100,0.92,1,0,0,
100,0,3.48,1,10.5,1,15,0,
90.83,0,5.76,142.47,1.15,0.8,0,0,
100,0,10,18,1,1,0,0,
100,0,0.74,18.85,1,1,0,0,
100,0,1.61,21.88,1,1,0,0,
100,0,5.06,19.8,1.05,1.33,0,0,
100,0,2.71,3,0.99,1,0,0,
100,0,1,2.56,1,0.96,0,0,
100,1,7.19,17,0.96,0.5,0,0,
100,0,11.7,3.73,1,1,0,0,
100,0,1.39,9.34,1,1,0,0,
100,0,7.67,8,1,1,0,0,
100,0,12.33,22.46,1.03,3.25,0,0,
100,0,6.74,59.67,0.95,0.5,0,0,
100,0,4,39.5,1.2,1.33,1,0,
100,0,0.13,0.18,1.4,1.29,0,0,
100,0,2.47,22,0.96,0.04,0,0,
100,0,2.47,22,0.96,0.04,0,0,
100,0,8.5,10,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,1,0.5,1,1,0,0,
100,0,1,0.5,1,1,0,0,
100,0,1,0.5,1,1,0,0,
100,96,0,0,1.07,-0.53,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
84,116,0,0,1.15,-0.4,0,0,
100,0,2.93,24,1,1,1,0,
100,0,5.55,17.93,0.99,3.75,0,0,
100,0,30.08,38.65,1,1,0,0,
100,0,31.6,38.9,1,1,0,0,
100,0,2.83,6.86,2.5,3.5,1,0,
100,0,11.33,11.33,0.77,0.75,0,0,
100,0,19.31,19.31,0.67,0.66,0,0,
100,0,15.62,17.55,1,1,0,0,
100,0,17.1,18.6,1,1,0,0,
100,0,31.33,0,1,0.82,0,0,
100,0,7.83,34.81,0.91,1,0,0,
100,0,7.95,34.8,1.13,1,0,0,
100,0,0.23,1,1,1,0,0,
100,0,10,10,1,1,0,0,
100,0,10,10,1,1,0,0,
100,0,1.75,16,1,1,0,0,
100,0,16,40,1.03,1,0,0,
100,0,10.93,40.29,1.08,1,0,0,
100,0,10.93,12,0.98,1,0,0,
100,0,9.63,3.35,0.67,1,0,0,
100,11,1.85,18.28,1.09,0.92,0,0,
100,100,0,0,1.19,-0.34,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
100,0,11.27,11.15,1,0.93,0,0,
100,0,1,0.5,1,1,0,0,
100,0,3.66,5.21,0.9,1,0,0,
100,0,0.74,40,1,-0.17,0,0,
94.88,2,1.18,20,0.95,1,0,0,
96.59,0,4.31,18.33,0.98,1,4,0,
100,0,6.56,1,1,1,0,0,
100,0,19.17,22,1,1,0,0,
100,0,2.61,4.91,1.11,2.32,0,0,
100,0,2.46,4.67,1.21,4.29,0,0,
100,0,8,30,1,1,0,0,
92.5,0,3.14,183.28,1.27,0.67,2,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,3,8.86,2.67,1.73,0.75,0,0,
100,0,1.9,7.5,9.67,1,28,0,
100,0,0.91,0.87,1.07,1.14,2,0,
100,0,38.63,38.63,1,1,0,0,
100,0,27.04,27.04,1,1,0,0,
95.96,0,4.48,4.48,1.08,1.09,0,0,
100,3,0.78,41.67,1.02,3,0,0,
100,0,24.14,28.38,0.99,0.95,0,0,
100,0,24.73,23.97,0.99,0.97,0,0,
100,0,29.1,28,0.96,0.89,0,0,
100,0,1,5.71,1,7,0,0,
100,2,15.37,0,1.31,2.29,0,0,
100,0,5.22,20,0.83,0.67,0,0,
100,0,0,0,1,1.09,0,0,
100,0,0,0,1.05,2,0,0,
100,0,6.75,3.87,0.63,1,0,0,
100,0,3.5,12.31,1.18,0.51,0,0,
100,0,8,1.89,1,1,0,0,
100,11,25.83,14.33,0.94,1,1,0,
100,13,11.22,147,1.43,1,0,0,
100,0,2.66,2.68,1.56,1,0,0,
100,0,6.12,40,1.7,1,0,0,
100,0,4,1,1,1,0,0,
100,0,4,1,1,1,0,0,
100,0,3.55,43.8,1.32,1.67,1,0,
100,0,4.82,43.8,1.57,1.67,1,0,
100,0,0.08,0.32,1.14,6,0,0,
100,0,0.1,0.12,1.67,2.2,0,0,
100,0,9.13,16,1.06,1,0,0,
100,0,0.98,61.67,1.15,1.5,0,0,
100,0,0.61,18.17,1.09,1,3,0,
100,0,0.59,11.78,1.28,1,0,0,
100,0,9.04,25,0.93,1,0,0,
100,0,9.65,80,1.01,1,0,0,
100,0,9.89,80,0.91,0.5,0,0,
100,0,6.2,446.42,1.1,1.5,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,18.17,4.62,1,1,0,0,
100,0,19.21,9.92,1,1,0,0,
100,0,4.23,6.92,1,1,0,0,
100,0,14.75,7.06,1,0.95,0,0,
100,0,0.75,1.5,1,1,0,0,
100,0,1.8,40,1.12,1,0,0,
100,0,4.1,2.68,1,1,0,0,
100,6,1.69,2.91,1,1,0,0,
100,0,2,4,1,1,0,0,
100,0,18.46,26.67,0.57,0.6,0,0,
100,30,3.21,59.67,1.05,1,0,0,
100,30,3.27,59.66,1,1.13,0,0,
100,0,1,0.5,1,1,0,0,
100,0,37.59,1.6,1,1,0,0,
100,0,3.68,5.22,0.89,1,0,0,
100,0,8.88,10,0.92,1,5,0,
100,0,8.76,10,0.95,1,5,0,
100,0,0.06,0.04,1.43,7,0,0,
100,0,1.57,93.8,1.16,-1,0,0,
95.45,0,7.96,50,1.09,-0.56,0,0,
100,0,7.78,1,1,1,0,0,
100,0,16.41,9.67,1,1,0,0,
